SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
050,4,8,30,025,Montana,Fallon County,2890,2890,2886,2924,3024,-4,38,100,8,50,50,6,37,33,2,13,17,0,0,0,-5,25,81,-5,25,81,-1,0,2,34,34,34,34,17.211703959,16.812373907,12.736660929,11.096166779,4.4750430293,5.7162071284,0,0,8.6058519793,27.23604573,8.6058519793,27.23604573
050,4,8,30,027,Montana,Fergus County,11586,11586,11586,11494,11435,0,-92,-59,35,105,102,41,162,157,-6,-57,-55,0,2,2,5,-40,-5,5,-38,-3,1,3,-1,465,465,465,465,9.0987868284,8.8970299621,14.03812825,13.694448079,-4.939341421,-4.797418117,0.1733102253,0.1744515679,-3.466204506,-0.43612892,-3.292894281,-0.261677352
050,4,8,30,029,Montana,Flathead County,90928,90928,90898,91132,91633,-30,234,501,281,1073,1063,165,781,756,116,292,307,9,28,33,-158,-43,175,-149,-15,208,3,-43,-14,992,992,992,992,11.789265506,11.632424151,8.5810031314,8.2729187755,3.2082623743,3.3595053758,0.3076415975,0.3611194704,-0.472449596,1.9150274943,-0.164807999,2.2761469647
050,4,8,30,031,Montana,Gallatin County,89513,89513,89610,91354,92614,97,1744,1260,278,1066,1102,120,484,501,158,582,601,15,72,75,-79,1049,582,-64,1121,657,3,41,2,3260,3260,3256,3265,11.781348777,11.980344408,5.3491302137,5.4465994086,6.4322185628,6.5337449991,0.7957383789,0.8153591929,11.593466104,6.3271873369,12.389204483,7.1425465298
050,4,8,30,033,Montana,Garfield County,1206,1206,1185,1272,1261,-21,87,-11,3,13,14,2,10,12,1,3,2,0,0,0,-21,72,-13,-21,72,-13,-1,12,0,0,0,0,0,10.582010582,11.054086064,8.14000814,9.474930912,2.442002442,1.579155152,0,0,58.608058608,-10.26450849,58.608058608,-10.26450849
050,4,8,30,035,Montana,Glacier County,13399,13399,13448,13577,13711,49,129,134,52,264,252,28,80,105,24,184,147,-1,2,2,25,-78,-12,24,-76,-10,1,21,-3,690,690,690,690,19.53746531,18.469656992,5.9204440333,7.6956904134,13.617021277,10.773966579,0.1480111008,0.1465845793,-5.772432932,-0.879507476,-5.624421832,-0.732922897
050,4,8,30,037,Montana,Golden Valley County,884,884,883,852,839,-1,-31,-13,2,5,4,4,10,8,-2,-5,-4,0,0,0,2,-28,-8,2,-28,-8,-1,2,-1,89,89,89,89,5.7636887608,4.7309284447,11.527377522,9.4618568894,-5.763688761,-4.730928445,0,0,-32.27665706,-9.461856889,-32.27665706,-9.461856889
050,4,8,30,039,Montana,Granite County,3079,3079,3073,3145,3109,-6,72,-36,4,24,20,7,34,31,-3,-10,-11,0,0,0,0,58,-25,0,58,-25,-3,24,0,40,40,40,40,7.7195239627,6.3959066198,10.93599228,9.9136552606,-3.216468318,-3.517748641,0,0,18.655516243,-7.994883275,18.655516243,-7.994883275
050,4,8,30,041,Montana,Hill County,16096,16096,16151,16398,16366,55,247,-32,69,274,254,39,148,150,30,126,104,1,6,7,22,108,-146,23,114,-139,2,7,3,593,593,567,567,16.836154721,15.504822366,9.0939813819,9.156391161,7.7421733387,6.348431205,0.3686749209,0.4272982542,6.636148576,-8.91222073,7.0048234969,-8.484922476
050,4,8,30,043,Montana,Jefferson County,11406,11406,11403,11429,11401,-3,26,-28,27,84,100,28,106,117,-1,-22,-17,1,3,5,0,15,-16,1,18,-11,-3,30,0,230,230,230,230,7.3580939033,8.7604029785,9.2852137351,10.249671485,-1.927119832,-1.489268506,0.262789068,0.4380201489,1.3139453399,-1.401664477,1.5767344078,-0.963644328
050,4,8,30,045,Montana,Judith Basin County,2072,2072,2061,2028,2024,-11,-33,-4,3,14,14,3,15,14,0,-1,0,0,1,1,-8,-40,-5,-8,-39,-4,-3,7,0,0,0,0,0,6.8476400098,6.9101678184,7.3367571533,6.9101678184,-0.489117144,0,0.4891171436,0.4935834156,-19.56468574,-2.467917078,-19.0755686,-1.974333662
050,4,8,30,047,Montana,Lake County,28746,28746,28779,29021,28986,33,242,-35,86,361,364,55,251,238,31,110,126,-1,4,4,5,125,-166,4,129,-162,-2,3,1,587,587,587,587,12.491349481,12.550209457,8.6851211073,8.2059061837,3.8062283737,4.3443032737,0.1384083045,0.1379143896,4.3252595156,-5.72344717,4.4636678201,-5.585532781
050,4,8,30,049,Montana,Lewis and Clark County,63395,63395,63626,64240,64876,231,614,636,194,741,762,131,563,569,63,178,193,13,38,49,154,422,397,167,460,446,1,-24,-3,1946,1946,1947,1954,11.590258552,11.803339633,8.8060938795,8.8137798569,2.7841646724,2.9895597757,0.5943722334,0.7590074042,6.600660066,6.1495089687,7.1950322994,6.9085163729
050,4,8,30,051,Montana,Liberty County,2339,2339,2354,2378,2392,15,24,14,6,23,19,5,19,24,1,4,-5,0,0,0,16,19,18,16,19,18,-2,1,1,403,403,403,403,9.7210481826,7.9664570231,8.0304311074,10.062893082,1.6906170752,-2.096436059,0,0,8.0304311074,7.5471698113,8.0304311074,7.5471698113
050,4,8,30,053,Montana,Lincoln County,19687,19687,19677,19604,19491,-10,-73,-113,43,175,184,46,232,235,-3,-57,-51,1,7,8,-6,-26,-70,-5,-19,-62,-2,3,0,209,209,209,209,8.9101601283,9.4129684103,11.81232657,12.021997698,-2.902166442,-2.609029288,0.3564064051,0.4092594961,-1.323795219,-3.581020591,-0.967388814,-3.171761095
050,4,8,30,055,Montana,McCone County,1734,1734,1736,1716,1701,2,-20,-15,4,13,15,5,20,17,-1,-7,-2,0,0,0,4,-16,-12,4,-16,-12,-1,3,-1,19,19,19,19,7.5318655852,8.7796312555,11.587485516,9.9502487562,-4.05561993,-1.170617501,0,0,-9.269988413,-7.023705004,-9.269988413,-7.023705004
050,4,8,30,057,Montana,Madison County,7691,7691,7677,7683,7733,-14,6,50,13,65,57,25,67,63,-12,-2,-6,0,-1,0,0,-4,56,0,-5,56,-2,13,0,163,163,163,163,8.4635416667,7.3949143747,8.7239583333,8.1733264141,-0.260416667,-0.778412039,-0.130208333,0,-0.520833333,7.2651790348,-0.651041667,7.2651790348
050,4,8,30,059,Montana,Meagher County,1891,1891,1889,1896,1924,-2,7,28,4,27,26,8,21,18,-4,6,8,0,0,0,3,0,19,3,0,19,-1,1,1,174,174,174,174,14.266842801,13.612565445,11.096433289,9.4240837696,3.1704095112,4.1884816754,0,0,0,9.9476439791,0,9.9476439791
050,4,8,30,061,Montana,Mineral County,4223,4223,4216,4257,4167,-7,41,-90,13,42,37,15,42,44,-2,0,-7,0,0,0,-3,22,-84,-3,22,-84,-2,19,1,22,22,22,22,9.913843975,8.7844254511,9.913843975,10.44634378,0,-1.661918329,0,0,5.1929658917,-19.94301994,5.1929658917,-19.94301994
050,4,8,30,063,Montana,Missoula County,109299,109299,109457,110114,110977,158,657,863,306,1185,1166,161,778,757,145,407,409,11,49,56,4,227,405,15,276,461,-2,-26,-7,3634,3634,3621,3621,10.793775134,10.547693031,7.0865460375,6.8478590264,3.7072290967,3.699834005,0.446324879,0.5065787391,2.0676683169,3.6636498094,2.5139931958,4.1702285484
050,4,8,30,065,Montana,Musselshell County,4538,4538,4542,4727,4665,4,185,-62,10,47,39,19,63,56,-9,-16,-17,0,0,0,13,195,-45,13,195,-45,0,6,0,52,52,52,52,10.141331319,8.3049403748,13.593699428,11.925042589,-3.452368109,-3.620102215,0,0,42.075736325,-9.582623509,42.075736325,-9.582623509
050,4,8,30,067,Montana,Park County,15636,15636,15587,15486,15567,-49,-101,81,33,146,140,36,143,149,-3,3,-9,2,4,5,-47,-99,85,-45,-95,90,-1,-9,0,108,108,108,108,9.3972258874,9.0168421731,9.2041322048,9.5964963128,0.1930936826,-0.57965414,0.2574582435,0.3220300776,-6.372091526,5.4745113194,-6.114633283,5.796541397
050,4,8,30,069,Montana,Petroleum County,494,494,493,492,511,-1,-1,19,1,3,3,0,1,1,1,2,2,0,0,0,-1,-9,17,-1,-9,17,-1,6,0,0,0,0,0,6.0913705584,5.9820538385,2.0304568528,1.9940179462,4.0609137056,3.9880358923,0,0,-18.27411168,33.898305085,-18.27411168,33.898305085
050,4,8,30,071,Montana,Phillips County,4253,4253,4262,4202,4128,9,-60,-74,10,44,40,9,52,45,1,-8,-5,0,0,0,8,-54,-70,8,-54,-70,0,2,1,127,127,127,127,10.396975425,9.6038415366,12.287334594,10.804321729,-1.890359168,-1.200480192,0,0,-12.75992439,-16.80672269,-12.75992439,-16.80672269
050,4,8,30,073,Montana,Pondera County,6153,6153,6161,6185,6165,8,24,-20,18,76,79,23,61,70,-5,15,9,0,0,1,16,9,-31,16,9,-30,-3,0,1,645,645,645,645,12.311679896,12.793522267,9.8817430747,11.336032389,2.4299368216,1.4574898785,0,0.1619433198,1.457962093,-5.020242915,1.457962093,-4.858299595
050,4,8,30,075,Montana,Powder River County,1743,1743,1731,1760,1763,-12,29,3,4,5,8,6,16,16,-2,-11,-8,0,0,0,-7,31,12,-7,31,12,-3,9,-1,35,35,35,35,2.8645087368,4.5415838774,9.1664279576,9.0831677548,-6.301919221,-4.541583877,0,0,17.759954168,6.8123758161,17.759954168,6.8123758161
050,4,8,30,077,Montana,Powell County,7027,7027,7020,7092,7096,-7,72,4,14,59,55,22,74,82,-8,-15,-27,0,0,1,1,88,32,1,88,33,0,-1,-2,1523,1523,1573,1569,8.3616780045,7.7530307302,10.487528345,11.559063998,-2.12585034,-3.806033268,0,0.1409641951,12.471655329,4.510854243,12.471655329,4.6518184381
050,4,8,30,079,Montana,Prairie County,1179,1179,1187,1156,1157,8,-31,1,3,11,14,7,13,10,-4,-2,4,0,0,0,11,-32,-4,11,-32,-4,1,3,1,21,21,21,21,9.3896713615,12.105490705,11.096884336,8.6467790748,-1.707212975,3.4587116299,0,0,-27.3154076,-3.45871163,-27.3154076,-3.45871163
050,4,8,30,081,Montana,Ravalli County,40212,40212,40339,40422,40617,127,83,195,108,375,377,93,407,423,15,-32,-46,3,12,14,107,94,228,110,106,242,2,9,-1,478,478,517,517,9.2866606407,9.3041621935,10.079122349,10.439418058,-0.792461708,-1.135255864,0.2971731405,0.3455126544,2.3278562673,5.6269203717,2.6250294078,5.9724330261
050,4,8,30,083,Montana,Richland County,9746,9746,9742,10143,10810,-4,401,667,27,127,137,27,82,99,0,45,38,1,3,3,-5,350,612,-4,353,615,0,3,14,34,34,34,34,12.773447322,13.076886365,8.2474226804,9.4497208037,4.5260246417,3.627165561,0.3017349761,0.2863551759,35.20241388,58.416455877,35.504148856,58.702811053
050,4,8,30,085,Montana,Roosevelt County,10425,10425,10451,10544,10927,26,93,383,56,196,220,19,106,128,37,90,92,1,2,2,-9,-6,284,-8,-4,286,-3,7,5,186,186,186,186,18.67111217,20.492757673,10.097642296,11.92305901,8.5734698738,8.5696986633,0.1905215528,0.186297797,-0.571564658,26.454287178,-0.381043106,26.640584975
